FIRST_NAME;LAST_NAME
Sofija Kai;Hansen
Evelina Lukas;Johansen
Vega Alfred;Olsen
Martina Anders;Larsen
Weronika Hans;Andersen
Lilje Terje;Pedersen
Tirill Dexter;Nilsen
Angelika Ali;Kristiansen
Isa Tymon;Jensen
Sigrun James;Karlsen
Maren Nikolas;Johnsen
Dorthea Heine;Pettersen
Cassandra Luka;Eriksen
Eir Finn;Berg
Alicia Vegard;Haugen
Amalie Philip;Hagen
Sundus Simen;Johannessen
Petra Ben;Andreassen
Astrid Gaute;Jacobsen
Heidi Viggo;Dahl
Tia Jonah;Jørgensen
Marte Jakob;Halvorsen
Mia Johnny;Henriksen
Patrycja Ivo;Lund
Mali Karl;Sørensen
Elizabeth Colin;Jakobsen
Lilly Mads;Moen
Leana Loke;Gundersen
Lana Kamil;Iversen
Luca Robin;Svendsen
Karianne Einar;Strand
Matilda Vincent;Solberg
Seline Balder;Martinsen
Trine Nikodem;Knutsen
Annie Mattias;Paulsen
Amelija Ismail;Eide
Alba Vilhelm;Bakken
Cathrine Aune;Kristoffersen
Eva Danial;Mathisen
Inger Noel;Lie
Noor Maxim;Amundsen
Milja Mathias;Rasmussen
Ellinor Ivar;Lunde
Emeli Nico;Kristensen
Kathrine Halvor;Bakke
Sannah Thorvald;Moe
Magdalena Ryan;Berge
Lotte Nicklas;Nygård
Adelina Kristoffer;Solheim
Adriana Tommy;Fredriksen
Celina Åsmund;Nguyen
Aleksandra Mikkel;Holm
Lara Martin;Lien
Helmine Amadeus;Andresen
Kaia Bilal;Hauge
Julianne Knut;Christensen
Irene Frank;Knudsen
Linde Christian;Nielsen
Marion Zander;Evensen
Aurora Jacob;Ali
Eileen Eldar;Sæther
Iselin Kent;Aas
Gunhild Albin;Hanssen
Eliana Troy;Myhre
Othelia Joakim;Haugland
Melinda Pelle;Thomassen
Ella Alexander;Sivertsen
Nelia Even;Simonsen
Cornelia Tinius;Berntsen
Ayla Yousef;Danielsen
Ine Kasper;Rønning
Marlene Said;Arnesen
Sarah Bernard;Sandvik
Aria Eric;Næss
Yara Brage;Antonsen
Maida Atle;Haug
